,Buy to Cover,8/21/15 10:00,Stop Loss,@CL,$49.17 ,,($360.00),"$27,604.16 ",,($360.00),0.00%,-100.00%,$0.19 ,$10.00 
69,Buy,9/30/15 17:00, Buy ,@CL,$53.21 ,$0.00 ,1,$59.62 ,0.15%,"$1,650.00 ",88.24%,,$0.19 ,$10.00 
,Sell,10/1/15 12:00,Exit Long,@CL,$53.29 ,,$80.00 ,"$27,663.78 ",,($220.00),16.04%,4.28%,$0.19 ,$10.00 
70,Sell Short,10/2/15 10:00, Sell ,@CL,$52.68 ,$0.00 ,1,($590.38),-1.08%,$950.00 ,62.50%,,$0.19 ,$10.00 
,Buy to Cover,10/2/15 14:00,Stop Loss,@CL,$53.25 ,,($570.00),"$27,073.40 ",,($570.00),0.00%,-37.50%,$0.19 ,$10.00 
71,Buy,10/6/15 10:00, Buy ,@CL,$54.44 ,$0.00 ,1,"$2,179.62 ",4.04%,"$3,030.00 ",93.23%,,$0.19 ,$10.00 
,Sell,10/7/15 12:00,Exit Long,@CL,$56.64 ,,"$2,200.00 ","$29,253.02 ",,($220.00),74.46%,67.69%,$0.19 ,$10.00 
72,Sell Short,10/20/15 13:00, Sell ,@CL,$53.31 ,$0.00 ,1,($260.38),-0.45%,$380.00 ,58.46%,,$0.19 ,$10.00 
,Buy to Cover,10/20/15 16:00,Exit Short,@CL,$53.55 ,,($240.00),"$28,992.64 ",,($270.00),4.62%,-36.92%,$0.19 ,$10.00 
73,Sell Short,10/23/15 10:00, Sell ,@CL,$52.26 ,$0.00 ,1,$159.62 ,0.34%,$850.00 ,97.70%,,$0.19 ,$10.00 
,Buy to Cover,10/26/15 6:00,Exit Short,@CL,$52.08 ,,$180.00 ,"$29,152.26 ",,($20.00),22.99%,20.69%,$0.19 ,$10.00 
74,Buy,10/30/15 14:00, Buy ,@CL,$53.57 ,$0.00 ,1,($290.38),-0.50%,$670.00 ,64.42%,,$0.19 ,$10.00 
,Sell,11/2/15 5:00,Exit Long,@CL,$53.30 ,,($270.00),"$28,861.88 ",,($370.00),9.62%,-25.96%,$0.19 ,$10.00 
75,Sell Short,11/10/15 10:00, Sell ,@CL,$50.99 ,$0.00 ,1,($450.38),-0.84%,$210.00 ,32.81%,,$0.19 ,$10.00 
,Buy to Cover,11/10/15 10:00,Stop Loss,@CL,$51.42 ,,($430.00),"$28,411.50 ",,($430.00),0.00%,-67.19%,$0.19 ,$10.00 
76,Sell Short,11/11/15 12:00, Sell ,@CL,$50.51 ,$0.00 ,1,"$1,359.62 ",2.73%,"$1,920.00 ",98.46%,,$0.19 ,$10.00 
,Buy to Cover,11/13/15 5:00,Exit Short,@CL,$49.13 ,,"$1,380.00 ","$29,771.12 ",,($30.00),72.31%,70.77%,$0.19 ,$10.00 
77,Sell Short,11/20/15 8:00, Sell ,@CL,$47.57 ,$0.00 ,1,($360.38),-0.71%,$40.00 ,10.53%,,$0.19 ,$10.00 
,Buy to Cover,11/20/15 10:00,Stop Loss,@CL,$47.91 ,,($340.00),"$29,410.74 ",,($340.00),0.00%,-89.47%,$0.19 ,$10.00 
78,Sell Short,11/20/15 16:00, Sell ,@CL,$47.74 ,$0.00 ,1,$339.62 ,0.75%,"$1,170.00 ",93.60%,,$0.19 ,$10.00 
,Buy to Cover,11/23/15 8:00,Exit Short,@CL,$47.38 ,,$360.00 ,"$29,750.36 ",,($80.00),35.20%,28.80%,$0.19 ,$10.00 
79,Sell Short,11/30/15 14:00, Sell ,@CL,$47.92 ,$0.00 ,1,($190.38),-0.35%,$240.00 ,51.06%,,$0.19 ,$10.00 
,Buy to Cover,12/1/15 1:00,Exit Short,@CL,$48.09 ,,($170.00),"$29,559.98 ",,($230.00),12.77%,-36.17%,$0.19 ,$10.00 
80,Sell Short,12/2/15 6:00, Sell ,@CL,$47.62 ,$0.00 ,1,($250.38),-0.48%,$690.00 ,75.00%,,$0.19 ,$10.00 
,Buy to Cover,12/2/15 11:00,Stop Loss,@CL,$47.85 ,,($230.00),"$29,309.60 ",,($230.00),0.00%,-25.00%,$0.19 ,$10.00 
81,Sell Short,12/9/15 13:00, Sell ,@CL,$43.47 ,$0.00 ,1,"$1,999.62 ",4.65%,"$2,780.00 ",92.36%,,$0.19 ,$10.00 
,Buy to Cover,12/14/15 10:00,Exit Short,@CL,$41.45 ,,"$2,020.00 ","$31,309.22 ",,($230.00),74.75%,67.11%,$0.19 ,$10.00 
82,Sell Short,12/18/15 8:00, Sell ,@CL,$40.78 ,$0.00 ,1,($360.38),-0.83%,$130.00 ,27.66%,,$0.19 ,$10.00 
,Buy to Cover,12/18/15 10:00,Stop Loss,@CL,$41.12 ,,($340.00),"$30,948.84 ",,($340.00),0.00%,-72.34%,$0.19 ,$10.00 
83,Sell Short,12/21/15 9:00, Sell ,@CL,$40.45 ,$0.00 ,1,($350.38),-0.82%,$20.00 ,5.71%,,$0.19 ,$10.00 
,Buy to Cover,12/21/15 9:00,Stop Loss,@CL,$40.78 ,,($330.00),"$30,598.46 ",,($330.00),0.00%,-94.29%,$0.19 ,$10.00 
84,Buy,12/22/15 13:00, Buy ,@CL,$41.36 ,$0.00 ,1,"$1,069.62 ",2.64%,"$1,520.00 ",79.17%,,$0.19 ,$10.00 
,Sell,12/24/15 8:00,Exit Long,@CL,$42.45 ,,"$1,090.00 ","$31,668.08 ",,($400.00),77.60%,56.77%,$0.19 ,$10.00 
85,Sell Short,2/5/16 10:00, Sell ,@CL,$35.38 ,$0.00 ,1,$979.62 ,2.83%,"$1,850.00 ",72.27%,,$0.19 ,$10.00 
,Buy to Cover,2/8/16 12:00,Exit Short,@CL,$34.38 ,,"$1,000.00 ","$32,647.70 ",,($710.00),66.80%,39.06%,$0.19 ,$10.00 
